state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Pennsylvania,HMS Host (located within the Philadelphia International Airport),"Starbucks, 8500 Essington Avenue, Philadelphia, PA  19153 Balducci’s, 8500 Essington Avenue, Philadelphia, PA  19153",10/27/2025,10/27/2025,13,Layoff,County: Philadelphia
Pennsylvania,"PosiGen Developer, LLC","400 Davis Drive, Suite 400, Plymouth Meeting, PA  19462 241 East Elm Street, Conshohocken, PA  19428",8/24/2025,8/24/2025,49,Layoff,County: Montgomery
Pennsylvania,"PrimeCare Medical, Inc.",COUNTIES: York,9/30/2025,9/30/2025,50,Layoff,
Pennsylvania,"Inmar Supply Chain Solutions, LLC","8150 Industrial Boulevard, Breinigsville, PA  18031 COUNTIES: Lehigh",10/10/2025,10/10/2025,101,Closing,
Pennsylvania,"Comprehensive Logistics, Inc.","609 Memory Lane, York, PA  17402 COUNTIES: York",9/25/2025,9/25/2025,365,Layoff,
Pennsylvania,"Weaber, Inc.","25 Keystone Drive, Lebanon, PA  17042 COUNTIES: Lebanon",beginning 8/26/2025; ending 9/9/2025,beginning 8/26/2025; ending 9/9/2025,145,Layoff,
Pennsylvania,"Century Therapeutics, LLC","25 North 38th Street, Philadelphia, PA 19104 COUNTIES: Philadelphia",7/11/2025,7/11/2025,72 (54 PA residents impacted),Layoff,
Pennsylvania,Carson Valley Children’s Aid,"15 &71 West Wissahickon Avenue, Flourtown, PA 19031 (51 employees impacted) 2300 West Allegheny Avenue, Philadelphia, PA 19132 (33 employees impacted) 800 West Olney Avenue, Philadelphia, PA 19120 (10 employees impacted) 1314 DeKalb Street, Norristown, PA 19401 (2 employees impacted) COUNTIES: Montgomery and Philadelphia",EFFECTIVE DATES: beginning 9/1/2025; ending 9/15/2025,EFFECTIVE DATES: beginning 9/1/2025; ending 9/15/2025,96,Closure,
Pennsylvania,"Alloy Surfaces Company, Inc.","121 North Commerce Drive Chester Township, PA  19014",8/30/2025 - 12/31/2025,8/30/2025 - 12/31/2025,52,Closing,County: Delaware
Pennsylvania,ACC Premiere,"948 Plaza Drive, Suite 1 Montoursville, PA  17754",9/19/2025,9/19/2025,67,Layoff,County: Lycoming
Pennsylvania,"PPG Industries, Inc.","47 Park Avenue Elverson, PA  19520",beginning 8/18/2025; ending 12/31/2026,beginning 8/18/2025; ending 12/31/2026,82,Closing,County: Chester
Pennsylvania,"Tyson Warehousing Services, LLC","110 Keystone Boulevard East Pottsville, PA  17901",8/15/2025,8/15/2025,314,Layoff,County: Schuylkill
Pennsylvania,"Natural Foods, Inc.","4255 East Independence Drive Schnecksville, PA  18078",beginning 8/12/25; ending 10/18/25,beginning 8/12/25; ending 10/18/25,716,Layoff,County: Lehigh
Pennsylvania,Pittsburgh Job Corps Center,"7175 Highland Drive, Pittsburgh, PA  15206",beginning 6/13/25; ending 6/30/25,beginning 6/13/25; ending 6/30/25,180,Closing,County: Allegheny
Pennsylvania,Tmunity Therapeutics,"3020 Market Street, Suite 535, Philadelphia, PA  19104 2929 Arch Street, Suite 1800, Philadelphia, PA  19104",beginning 1/17/25; ending 6/30/25,beginning 1/17/25; ending 6/30/25,14,Closing,County: Philadelphia
Pennsylvania,Del Frisco’s Grille,"225 South Broad Street Philadelphia, PA  19107",beginning 7/31/25; ending 8/3/25,beginning 7/31/25; ending 8/3/25,51,Closing,County: Philadelphia
